cliente_id,provincia,nombre
10001,Cordoba,Renata Benítez
10002,Santa Fe,Zulema Zarate
10003,Santa Fe,Abril Huerta
10004,Cordoba,Belén Estrada
10005,Cordoba,Lautaro Andreoli
10006,Buenos Aires,Bruno Romano
10007,Buenos Aires,Milagros Vega
10008,San Luis,Gisela Herrera
10009,Cordoba,Sabrina Pagani
10010,Santa Fe,Karen Mendoza
10011,Santa Fe,Leticia Zarate
10012,Santa Fe,Irene Giordano
10013,Santa Fe,Martina Ferrari
10014,Santa Fe,Orlando Ximenez
10015,Santa Fe,Delfina Bianchi
10016,Cordoba,Irene Salerno
10017,Cordoba,Graciela Torres
10018,Santa Fe,Ximena Vega
10019,Santa Fe,Leticia Marino
10020,San Luis,Renata Domínguez
10021,Cordoba,Helena Navarro
10022,Santa Fe,Inés Jiménez
10023,Santa Fe,Graciela Gómez
10024,Buenos Aires,Wanda Ortega
10025,Santa Fe,Yolanda Romano
10026,Bolivia,Olivia Giordano
10027,Santa Fe,Zaira Farina
10028,Cordoba,Elena Kohan
10029,Santa Fe,Graciela Toscano
10030,Santa Fe,Malena Greco
10031,Santa Fe,Nadia Napolitano
10032,Santa Fe,Yésica Sánchez
10033,Santa Fe,Florencia Salerno
10034,Santa Fe,Yolanda Juárez
10035,Paraguay,Helena Kohan
10036,Santa Fe,Camila Martínez
10037,Santiago del Estero,Karen Toscano
10038,Santa Fe,Irene Bianchi
10039,Entre Rios,Camila Sabbatini
10040,Corrientes,Delfina Torres
10041,Santa Fe,Irene Sabbatini
10042,Santa Fe,Rocío Juárez
10043,Santa Fe,Elena Gómez
10044,Santa Fe,Irene Giménez
10045,Santa Fe,Inés Pugliese
10046,Santa Fe,Ximena Estrada
10047,Cordoba,Wanda Kozak
10048,Santa Fe,Catalina Neri
10049,Santa Fe,Anabella Cappelletti
10050,Cordoba,Karen Torres
10051,Santa Fe,Oscar Jiménez
10052,Buenos Aires,Valeria Ulloa
10053,Cordoba,Fabiana Fernández
10054,Santa Fe,Delfina Benedetti
10055,Entre Rios,Raquel Iglesias
10056,Cordoba,Fabián Iannuzzi
10057,Cordoba,Karen Sánchez
10058,Santa Fe,Leticia Romano
10059,Santa Fe,Helena Andreoli
10060,Cordoba,Wanda Juárez
10061,Entre Rios,Mauro Moretti
10062,Santa Fe,Fermín Vega
10063,Santa Fe,Delfina Zarate
10064,Santa Fe,Elena Huerta
10065,Santa Fe,Josefina Marino
10066,Cordoba,Olivia Benítez
10067,Santa Fe,Verónica Torres
10068,Santa Fe,Pilar Larrosa
10069,Santa Fe,Josefina Fabbri
10070,Entre Rios,Rodrigo Ulloa
10071,Cordoba,Bruno Napolitano
10072,Santa Fe,Ramiro Pérez
10073,Santa Fe,Emilia Farina
10074,Cordoba,Ximena Benítez
10075,Santa Fe,Héctor Andreoli
10076,Entre Rios,Raquel Esposito
10077,Santa Fe,Sabrina Ortega
10078,Cordoba,Fabiana Gómez
10079,Cordoba,Daniela Farina
10080,Santa Fe,Víctor Kohan
10081,Santa Fe,Delfina Vega
10082,Cordoba,Noelia Giménez
